Date,Barnstable,Berkshire,Bristol,Dukes,Essex,Franklin,Hampden,Hampshire,Middlesex,Nantucket,Norfolk,Plymouth,Suffolk,Worcester,Unknown (Daily),Total,Probable,,,,
2020-03-12,0,9,0,0,2,0,0,0,49,0,24,0,22,1,1,108,0,,,,
2020-03-13,0,9,0,0,2,0,0,0,60,0,24,0,26,2,0,123,0,,,,
2020-03-14,1,9,1,0,5,0,0,0,65,0,28,0,27,2,0,138,0,,,,
2020-03-15,1,9,1,0,6,0,1,0,75,0,31,1,31,6,2,164,0,,,,
2020-03-16,1,11,2,0,8,0,1,0,83,0,36,3,36,6,10,197,0,,,,
2020-03-17,2,14,5,0,8,0,1,0,89,0,43,5,42,8,1,218,0,,,,
2020-03-18,2,17,5,0,14,1,2,0,100,0,45,5,51,10,4,256,0,,,,
2020-03-19,5,18,6,0,19,1,3,1,119,0,52,5,72,14,13,328,0,,,,
2020-03-20,9,20,6,0,29,1,3,2,144,0,64,11,86,19,19,413,0,,,,
2020-03-21,11,21,14,1,41,2,9,2,177,0,69,20,108,24,26,525,0,,,,
2020-03-22,24,23,24,1,60,2,12,4,199,0,75,25,126,37,34,646,0,,,,
2020-03-23,30,26,25,1,73,2,15,6,232,0,82,32,154,42,57,777,1,,,,
2020-03-24,40,37,31,2,118,5,24,8,304,0,129,64,234,73,90,1159,2,,,,
2020-03-25,51,71,67,2,177,14,45,11,446,1,222,101,342,129,159,1838,2,,,,
2020-03-26,67,73,90,3,247,16,55,17,538,1,292,138,448,166,267,2418,3,,,,
2020-03-27,100,105,129,3,350,24,90,20,685,2,393,187,631,219,303,3241,3,,,,
2020-03-28,133,119,179,3,472,39,183,30,842,4,490,272,843,291,356,4256,3,,,,
2020-03-29,148,151,208,4,570,41,201,37,981,5,548,325,940,337,460,4956,4,,,,
2020-03-30,173,162,263,4,653,49,255,46,1141,5,628,380,1115,390,489,5753,4,,,,
2020-03-31,191,171,306,5,784,61,354,69,1340,5,738,459,1373,433,333,6622,4,,,,
2020-04-01,255,183,366,5,885,72,475,81,1582,6,829,561,1624,563,251,7738,4,,,,
2020-04-02,283,213,424,5,1039,85,546,102,1870,7,938,621,1896,667,270,8966,6,,,,
2020-04-03,314,240,517,7,1238,89,661,114,2202,9,1045,745,2183,825,213,10402,7,,,,
2020-04-04,330,253,601,7,1400,95,733,125,2468,9,1199,898,2429,915,274,11736,10,,,,
2020-04-05,347,258,659,8,1506,100,768,128,2632,9,1271,963,2658,978,215,12500,11,,,,
2020-04-06,383,268,722,8,1653,107,889,147,2950,9,1382,1067,2929,1077,246,13837,12,,,,
2020-04-07,405,278,768,9,1841,118,997,158,3187,9,1592,1194,3245,1172,229,15202,12,,,,
2020-04-08,423,281,835,8,2103,117,1081,164,3545,9,1778,1327,3600,1296,223,16790,20,,,,
2020-04-09,444,304,994,9,2336,128,1276,177,4045,9,2007,1507,4041,1461,203,18941,23,,,,
2020-04-10,464,329,1086,12,2670,135,1394,194,4447,9,2216,1677,4534,1678,129,20974,27,,,,
2020-04-11,480,336,1191,12,2896,138,1545,204,4872,9,2395,1809,4926,1822,225,22860,30,,,,
2020-04-12,501,350,1327,12,3170,143,1647,219,5660,9,2649,2024,5359,2032,373,25475,36,,,,
2020-04-13,502,355,1394,12,3413,148,1694,224,5983,9,2838,2141,5579,2128,447,26867,45,,,,
2020-04-14,514,360,1435,11,3594,155,1798,233,6254,9,2969,2207,5872,2246,506,28163,53,,,,
2020-04-15,530,370,1508,11,3894,160,1885,239,6681,9,3122,2308,6279,2350,572,29918,58,,,,
2020-04-16,550,382,1605,12,4245,170,1985,248,7206,9,3342,2466,6820,2503,638,32181,63,,,,
2020-04-17,573,383,1659,12,4584,173,2134,258,7744,9,3499,2577,7272,2765,760,35225,70,,,,
2020-04-18,590,385,1698,14,4914,177,2254,306,8297,9,3659,2688,7696,2952,733,37627,74,,,,
2020-04-19,632,387,1731,14,5153,181,2337,317,8737,9,3789,2832,8074,3069,815,39920,78,,,,
2020-04-20,664,387,1779,14,5296,187,2438,332,9253,9,3960,2976,8314,3179,855,41516,87,,,,
2020-04-21,672,404,1852,14,5521,192,2533,337,9621,9,4062,3043,8669,3341,929,43268,89,,,,
2020-04-22,678,404,1908,14,5783,196,2678,345,10094,9,4212,3253,9060,3456,854,45013,90,,,,
2020-04-23,708,418,2181,14,6219,203,2836,367,10724,9,4541,3529,9739,3798,737,48092,94,,,,
2020-04-24,747,425,2697,15,6841,217,3060,396,11681,9,4979,4160,10724,4227,791,50969,99,,,,
2020-04-25,756,425,2829,15,7212,225,3229,412,12253,9,5172,4380,11218,4460,753,53348,101,,,,
2020-04-26,772,428,2923,15,7489,226,3295,427,12648,10,5288,4495,11543,4572,807,54938,105,,,,
2020-04-27,798,428,3068,15,7708,231,3381,443,12953,10,5398,4607,11883,4744,795,56462,110,,,,
2020-04-28,820,430,3270,15,7972,237,3546,509,13417,11,5567,4744,12140,4999,625,58302,115,,,,
2020-04-29,842,440,3429,16,8380,252,3698,531,13799,11,5700,4871,12539,5300,457,60265,121,,,,
2020-04-30,860,442,3580,17,8673,257,3777,546,14208,11,5896,5083,12890,5550,415,62205,123,,,,
2020-05-01,902,444,3792,18,9028,260,3900,518,14607,11,6065,5259,13295,5787,425,64311,126,,,,
2020-05-02,937,448,3916,18,9362,263,4003,549,15048,11,6187,5409,13606,6129,377,66263,128,,,,
2020-05-03,946,451,4019,21,9542,269,4066,559,15370,11,6280,5507,13777,6288,981,68087,131,,,,
2020-05-04,961,453,4103,21,9773,273,4114,563,15757,11,6382,5602,13941,6471,662,69087,134,,,,
2020-05-05,969,457,4235,21,9979,275,4203,575,15980,11,6466,5736,14173,6597,594,70271,138,,,,
2020-05-06,997,461,4380,22,10344,278,4321,580,16327,12,6610,5899,14476,6992,326,72025,143,,,,
2020-05-07,1021,464,4529,22,10610,285,4441,595,16676,11,6729,6081,14732,7197,328,73721,145,,,,
2020-05-08,1038,472,4670,22,10995,289,4522,654,17014,11,6801,6194,14944,7410,297,75333,151,,,,
2020-05-09,1056,472,4847,23,11211,294,4647,659,17307,11,6887,6311,15119,7611,288,76743,160,,,,
2020-05-10,1068,475,4931,23,11353,294,4714,676,17589,12,6952,6382,15279,7743,302,77793,161,,,,
2020-05-11,1075,478,4999,23,11432,296,4763,688,17774,12,7004,6457,15356,7818,287,78462,164,,,,
2020-05-12,1093,485,5125,23,11572,297,4831,702,17953,12,7046,6507,15454,7959,273,79332,168,,,,
2020-05-13,1111,486,5249,23,11703,302,4889,708,18201,12,7129,6592,15587,8241,264,80497,169,,,,
2020-05-14,1119,488,5440,24,11950,302,4974,724,18381,12,7258,6774,15881,8555,300,82182,174,,,,
2020-05-15,1137,491,5590,24,12131,304,5038,738,18683,12,7331,6875,15996,8786,285,83421,178,,,,
2020-05-16,1147,495,5748,25,12314,304,5133,751,18883,12,7412,6987,16346,9067,309,84933,186,,,,
2020-05-17,1150,497,5870,26,12462,308,5205,767,19129,12,7474,7064,16479,9252,315,86010,189,,,,
2020-05-18,1155,497,5996,26,12587,308,5264,774,19345,12,7524,7139,16671,9442,312,87052,190,,,,
2020-05-19,1177,497,6080,26,12748,308,5335,780,19504,12,7565,7198,16825,9582,288,87925,204,,,,
2020-05-20,1197,500,6165,26,12920,309,5418,792,19708,12,7607,7280,16962,9780,294,88970,213,,,,
2020-05-21,1202,509,6286,26,13063,310,5492,806,19930,13,7691,7366,17089,9997,304,90084,232,,,,
2020-05-22,1257,510,6362,26,13221,310,5568,812,20085,13,7724,7424,17180,10101,296,90889,243,,,,
2020-05-23,1264,515,6426,26,13334,312,5621,819,20232,13,7759,7480,17291,10251,319,91662,257,,,,
2020-05-24,1269,520,6596,26,13457,313,5687,830,20437,13,7812,7559,17417,10431,308,92675,274,,,,
2020-05-25,1277,523,6681,26,13575,314,5755,834,20539,13,7844,7594,17480,10505,311,93271,293,,,,
2020-05-26,1280,537,6733,26,13670,315,5796,840,20601,13,7863,7632,17533,10557,297,93693,314,,,,
2020-05-27,1286,539,6779,26,13778,317,5845,843,20706,13,7880,7656,17596,10647,309,94220,324,,,,
2020-05-28,1295,539,6852,26,13899,319,5878,845,20857,13,7919,7724,17698,10713,318,94895,330,,,,
2020-05-29,1303,544,6930,26,13994,319,5942,853,20972,13,7959,7766,17786,10816,289,95512,346,,,,
2020-05-30,1305,544,7089,26,14099,319,5982,855,21124,13,8016,7819,17873,10901,336,96301,354,,,,
2020-05-31,1312,544,7159,27,14225,320,6035,855,21287,13,8079,7859,17936,11018,296,96965,360,,,,
2020-06-01,,,,,,,,,,,,,,,,97291,366,,,,
2020-06-02,,,,,,,,,,,,,,,,97539,374,,,,
2020-06-03,,,,,,,,,,,,,,,,97964,376,,,,
2020-06-04,,,,,,,,,,,,,,,,98376,377,,,,
2020-06-05,,,,,,,,,,,,,,,,98796,381,,,,
2020-06-06,,,,,,,,,,,,,,,,99301,384,,,,
2020-06-07,,,,,,,,,,,,,,,,99562,394,,,,
2020-06-08,,,,,,,,,,,,,,,,99755,399,,,,
2020-06-09,,,,,,,,,,,,,,,,99955,409,,,,
2020-06-10,,,,,,,,,,,,,,,,100158,421,,,,
2020-06-11,,,,,,,,,,,,,,,,100504,429,,,,
2020-06-12,,,,,,,,,,,,,,,,100811,437,,,,
2020-06-13,,,,,,,,,,,,,,,,101070,444,,,,
2020-06-14,,,,,,,,,,,,,,,,101276,449,,,,
2020-06-15,,,,,,,,,,,,,,,,101334,458,,,,
2020-06-16,,,,,,,,,,,,,,,,101474,468,,,,
2020-06-17,,,,,,,,,,,,,,,,101654,488,,,,
2020-06-18,,,,,,,,,,,,,,,,101853,493,,,,
2020-06-19,,,,,,,,,,,,,,,,102005,498,,,,
2020-06-20,,,,,,,,,,,,,,,,102228,502,,,,
2020-06-21,,,,,,,,,,,,,,,,102333,505,,,,
2020-06-22,,,,,,,,,,,,,,,,102469,512,,,,
2020-06-23,,,,,,,,,,,,,,,,102651,516,,,,
2020-06-24,,,,,,,,,,,,,,,,102762,527,,,,
2020-06-25,,,,,,,,,,,,,,,,102922,535,,,,
2020-06-26,,,,,,,,,,,,,,,,103071,541,,,,
2020-06-27,,,,,,,,,,,,,,,,103376,544,,,,
2020-06-28,,,,,,,,,,,,,,,,103539,548,,,,
2020-06-29,,,,,,,,,,,,,,,,103628,557,,,,
2020-06-30,,,,,,,,,,,,,,,,103701,563,,,,
2020-07-01,,,,,,,,,,,,,,,,103858,573,,,,
2020-07-02,,,,,,,,,,,,,,,,104016,583,,,,
2020-07-03,,,,,,,,,,,,,,,,104228,592,,,,
2020-07-04,,,,,,,,,,,,,,,,104391,603,,,,
2020-07-05,,,,,,,,,,,,,,,,104502,616,,,,
2020-07-06,,,,,,,,,,,,,,,,104659,631,,,,
2020-07-07,,,,,,,,,,,,,,,,104799,648,,,,
2020-07-08,,,,,,,,,,,,,,,,104961,666,,,,
2020-07-09,,,,,,,,,,,,,,,,105138,684,,,,
2020-07-10,,,,,,,,,,,,,,,,105290,690,,,,
2020-07-11,,,,,,,,,,,,,,,,105457,706,,,,
2020-07-12,,,,,,,,,,,,,,,,105629,741,,,,
2020-07-13,,,,,,,,,,,,,,,,105783,746,,,,
2020-07-14,,,,,,,,,,,,,,,,105986,764,,,,
2020-07-15,,,,,,,,,,,,,,,,106128,769,,,,
2020-07-16,,,,,,,,,,,,,,,,106271,794,,,,
2020-07-17,,,,,,,,,,,,,,,,106487,798,,,,
2020-07-18,,,,,,,,,,,,,,,,106664,818,,,,
2020-07-19,,,,,,,,,,,,,,,,106882,833,,,,
2020-07-20,,,,,,,,,,,,,,,,107056,863,,,,
2020-07-21,,,,,,,,,,,,,,,,107221,897,,,,
2020-07-22,,,,,,,,,,,,,,,,107413,940,,,,
2020-07-23,,,,,,,,,,,,,,,,107683,964,,,,
2020-07-24,,,,,,,,,,,,,,,,107897,988,,,,
2020-07-25,,,,,,,,,,,,,,,,108107,1029,,,,
2020-07-26,,,,,,,,,,,,,,,,108380,1053,,,,
2020-07-27,,,,,,,,,,,,,,,,108562,1085,,,,
2020-07-28,,,,,,,,,,,,,,,,108740,1117,,,,
2020-07-29,,,,,,,,,,,,,,,,109096,1134,,,,
2020-07-30,,,,,,,,,,,,,,,,109400,1167,,,,
2020-07-31,,,,,,,,,,,,,,,,109787,1172,,,,
2020-08-01,,,,,,,,,,,,,,,,110077,1183,,,,
2020-08-02,,,,,,,,,,,,,,,,110430,1203,,,,
2020-08-03,,,,,,,,,,,,,,,,110595,1218,,,,
2020-08-04,,,,,,,,,,,,,,,,111033,1236,,,,
2020-08-05,,,,,,,,,,,,,,,,111371,1263,,,,
2020-08-06,,,,,,,,,,,,,,,,111533,1287,,,,
2020-08-07,,,,,,,,,,,,,,,,111853,1300,,,,
2020-08-08,,,,,,,,,,,,,,,,112173,1316,,,,
2020-08-09,,,,,,,,,,,,,,,,112459,1324,,,,
2020-08-10,,,,,,,,,,,,,,,,112673,1347,,,,
2020-08-11,,,,,,,,,,,,,,,,112969,1355,,,,
2020-08-12,,,,,,,,,,,,,,,,113198,1372,,,,
2020-08-13,,,,,,,,,,,,,,,,113517,1389,,,,
2020-08-14,,,,,,,,,,,,,,,,113729,1413,,,,
2020-08-15,,,,,,,,,,,,,,,,114095,1415,,,,
2020-08-16,,,,,,,,,,,,,,,,114398,1429,,,,
2020-08-17,,,,,,,,,,,,,,,,114611,1445,,,,
2020-08-18,1579,632,8864,50,17435,375,7482,1107,24538,34,9293,8881,21393,13107,278,114786,1445,,,,
