Date,Barnstable,Berkshire,Bristol,Dukes,Essex,Franklin,Hampden,Hampshire,Middlesex,Nantucket,Norfolk,Plymouth,Suffolk,Worcester,Unknown (Daily),Total
1/31/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/1/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2/2/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2/3/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2/4/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2/5/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2/6/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2/7/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2/8/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2/9/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2/10/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2/11/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2/12/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2/13/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2/14/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2/15/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2/16/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2/17/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2/18/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2/19/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2/20/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2/21/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2/22/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2/23/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2/24/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2/25/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2/26/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2/27/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2/28/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2/29/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3/1/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3/2/2020,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
3/3/2020,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
3/4/2020,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
3/5/2020,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,3
3/6/2020,0,0,0,0,0,0,0,0,1,0,3,0,4,0,0,8
3/7/2020,0,1,0,0,0,0,0,0,5,0,3,0,4,0,0,13
3/8/2020,0,1,0,0,0,0,0,0,10,0,7,0,9,0,0,27
3/9/2020,0,5,0,0,0,0,0,0,15,0,10,0,10,1,0,41
